route,route_label,replicate,aggregation,lead_min,metric,x_index,x_label,bin_low_mm,bin_high_mm,threshold_mm,estimate,ci_low,ci_high,n_common_pairs,n_observed_events
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,0,1,,,1,1.049228792867291,1.049228792867291,1.049228792867291,,235086
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,1,5,,,5,0.5613420470421375,0.5613420470421375,0.5613420470421375,,78497
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,2,10,,,10,0.1538938418846313,0.1538938418846313,0.1538938418846313,,33874
pysteps_patch_cnn,pySTEPS + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,3,20,,,20,0.0006837237755946,0.0006837237755946,0.0006837237755946,,9263
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,0,1,,,1,1.193361861900184,1.193361861900184,1.193361861900184,,235086
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,1,5,,,5,1.178826367037382,1.178826367037382,1.178826367037382,,78497
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,2,10,,,10,0.9352502410895278,0.9352502410895278,0.9352502410895278,,33874
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,60,frequency_bias,3,20,,,20,0.1644535607614523,0.1644535607614523,0.1644535607614523,,9263
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,0,1,,,1,1.066504740109293,1.066504740109293,1.066504740109293,,235086
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,1,5,,,5,0.7930918803691012,0.7930918803691012,0.7930918803691012,,78497
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,2,10,,,10,0.4150676034716892,0.4150676034716892,0.4150676034716892,,33874
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,120,frequency_bias,3,20,,,20,0.0216272625859152,0.0216272625859152,0.0216272625859152,,9263
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,0,1,,,1,1.067215118438926,1.067215118438926,1.067215118438926,,235086
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,1,5,,,5,0.7047912659082513,0.7047912659082513,0.7047912659082513,,78497
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,2,10,,,10,0.3150006888272225,0.3150006888272225,0.3150006888272225,,33874
exprecast_patch_cnn,exPreCast + CNN,0|1|2,mean_of_replicate_metrics,180,frequency_bias,3,20,,,20,0.0084925690021231,0.0084925690021231,0.0084925690021231,,9263
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,frequency_bias,0,1,,,1,1.088211689906389,1.088211689906389,1.088211689906389,,235086
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,frequency_bias,1,5,,,5,1.032162587954529,1.032162587954529,1.032162587954529,,78497
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,frequency_bias,2,10,,,10,0.9451595127039422,0.9451595127039422,0.9451595127039422,,33874
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,60,frequency_bias,3,20,,,20,0.7598330274569074,0.7598330274569074,0.7598330274569074,,9263
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,frequency_bias,0,1,,,1,1.200224598657513,1.200224598657513,1.200224598657513,,235086
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,frequency_bias,1,5,,,5,0.9340314491848946,0.9340314491848946,0.9340314491848946,,78497
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,frequency_bias,2,10,,,10,0.6846548975615515,0.6846548975615515,0.6846548975615515,,33874
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,120,frequency_bias,3,20,,,20,0.2483356723883551,0.2483356723883551,0.2483356723883551,,9263
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,frequency_bias,0,1,,,1,1.343533855695362,1.343533855695362,1.343533855695362,,235086
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,frequency_bias,1,5,,,5,0.8513318980343199,0.8513318980343199,0.8513318980343199,,78497
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,frequency_bias,2,10,,,10,0.4702820255456495,0.4702820255456495,0.4702820255456495,,33874
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,180,frequency_bias,3,20,,,20,0.0665731044657958,0.0665731044657958,0.0665731044657958,,9263
