metric_group,metric,route_key,route_label,lead_min,threshold_mm,point_estimate,ci_low,ci_high,bootstrap_valid_reps,bootstrap_reps
continuous,rmse,exprecast,exPreCast + Patch MLP,120,,1.616564134690846,1.398088496923447,1.838501417636872,50000,50000
continuous,mean_bias,exprecast,exPreCast + Patch MLP,120,,-0.0999146691580116,-0.1258194360882044,-0.0773437099531292,50000,50000
continuous,correlation,exprecast,exPreCast + Patch MLP,120,,0.5968786526217116,0.5647192224860191,0.6221518278121949,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,150,1,0.4411219665705855,0.3989357449114322,0.4770730212330818,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,150,1,0.5221167289133906,0.4724462293088436,0.5638767868280411,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,150,1,0.2600910728197856,0.2355056226253509,0.2883165456354618,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,150,1,0.705693519251111,0.6518690407276153,0.7521425038576126,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,150,5,0.2452693574321225,0.2096254654228687,0.2753563761711121,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,150,5,0.3067760551358651,0.2608388006687164,0.3453089326620102,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,150,5,0.4497394655813378,0.4101427637040615,0.4931749403476715,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,150,5,0.5574862733607654,0.4937327153980732,0.6145646616816521,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,150,10,0.071107522259715,0.050803246255964,0.0908990869298577,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,150,10,0.0786443880262148,0.0553991598077118,0.1018147269263863,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,150,10,0.5691797571798878,0.5282195940613746,0.6226551055908203,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,150,10,0.1829131487276377,0.1413585800677538,0.2225136402994394,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,150,20,0.0055107875301725,0.0010737052332842,0.0123339049750939,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,150,20,0.0055777465903774,0.0010829071048647,0.0125694539630785,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,150,20,0.5450544232595514,0.4398662142455578,0.8805993512272835,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,150,20,0.0147900248299686,0.004893477295991,0.0276837202254682,50000,50000
continuous,rmse,exprecast,exPreCast + Patch MLP,150,,1.708862780275751,1.478001019358635,1.943168577551842,50000,50000
continuous,mean_bias,exprecast,exPreCast + Patch MLP,150,,-0.1209475423427747,-0.1513667941093444,-0.0941677965223789,50000,50000
continuous,correlation,exprecast,exPreCast + Patch MLP,150,,0.5308306889476894,0.4968413539230824,0.5580688431859017,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,180,1,0.4031914600367186,0.35991046205163,0.4400884367525577,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,180,1,0.4808991886657081,0.4282699070870876,0.5251275360584259,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,180,1,0.2859989012241709,0.2595445431768894,0.3165061064064502,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,180,1,0.6735861202567004,0.6139237120747566,0.725335294008255,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,180,5,0.1908614019359367,0.1586450673639774,0.2184035558253526,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,180,5,0.2327180231940923,0.1913800537586212,0.2680254466831684,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,180,5,0.484973290861403,0.4406463675200939,0.5327419981360435,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,180,5,0.4519620707373105,0.3869080543518066,0.5111688926815987,50000,50000
categorical,csi,exprecast,exPreCast + Patch MLP,180,10,0.0278436693502301,0.0156452336814254,0.0432052889838814,50000,50000
categorical,pod,exprecast,exPreCast + Patch MLP,180,10,0.0292653165653106,0.016275000013411,0.0457822579890489,50000,50000
categorical,far,exprecast,exPreCast + Patch MLP,180,10,0.6326561112272631,0.5516034752130509,0.7231856495141983,50000,50000
categorical,frequency_bias,exprecast,exPreCast + Patch MLP,180,10,0.0798645962488437,0.0543568138033151,0.1069366935640573,50000,50000
