route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,threshold_mm,csi,pod,far,frequency_bias,hit,miss,false_alarm,correct_negative
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,90,10,0.1804151835589389,0.204994981401665,0.3992559910026819,0.341235165613745,6944,26930,4615,4370137
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,90,20,0.0065591397849462,0.0065853395228327,0.3775510204081632,0.0105797257907805,61,9202,37,4399326
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,100,1,0.4961531617662582,0.699786461124865,0.3696814115212935,1.110210731391916,164510,70576,96485,4077046
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,100,5,0.3330691480513889,0.433647145750793,0.4105015239678581,0.7356204695720856,34040,44457,23704,4306416
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,100,10,0.1546311645254869,0.1762413650587471,0.4422645739910314,0.3159945681053315,5970,27904,4734,4370009
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,100,20,0.0044048130640309,0.0044262118104285,0.5232558139534884,0.009284249163338,41,9222,45,4399309
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,110,1,0.474573385974448,0.6759611376262304,0.385666624141277,1.100316479926495,158909,76177,99760,4073761
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,110,5,0.3078164809304315,0.4032510796590952,0.4346591416477648,0.7132884059263411,31654,46843,24337,4305773
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,110,10,0.1329883570504527,0.1517387967172462,0.481645824929407,0.2927318887642439,5140,28734,4776,4369957
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,110,20,0.0032240730789897,0.0032386915686062,0.5833333333333334,0.007772859764655,30,9233,42,4399302
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,120,1,0.4559698532328441,0.6552197919059408,0.4000919142704694,1.092200301166382,154033,81053,102728,4070783
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,120,5,0.2815394273021391,0.3713772500859905,0.462140221402214,0.6904722473470324,29152,49345,25048,4305052
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,120,10,0.1142384105960264,0.1303654720434551,0.5198956294846706,0.2715356910905119,4416,29458,4782,4369941
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,120,20,0.0020443296750591,0.0020511713267839,0.62,0.0053978192810104,19,9244,31,4399303
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,130,1,0.4390803786883463,0.6354568115498158,0.4130822542117173,1.082701649609079,149387,85699,105141,4068361
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,130,5,0.2599403053830724,0.3450450335681618,0.4868807426352183,0.6724460807419392,27085,51412,25700,4304391
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,130,10,0.0992528245301067,0.1133317588711105,0.5558769088385007,0.2551809647517269,3839,30035,4805,4369909
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,130,20,0.0017211703958691,0.0017273021699233,0.673469387755102,0.0052898628953902,16,9247,33,4399292
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,140,1,0.422348694683686,0.6161915214006789,0.4268814736858763,1.075155475017653,144858,90228,107896,4065598
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,140,5,0.2403703880483031,0.32077659018816,0.5104786344725689,0.655286189281119,25180,53317,26258,4303825
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,140,10,0.0859407269723254,0.0982759638660919,0.5935783176657307,0.2418078762472693,3329,30545,4862,4369844
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,140,20,0.0008612337173,0.0008636510849616,0.7647058823529411,0.0036705171110871,8,9255,26,4399291
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,150,1,0.4076642124181112,0.5982321363245791,0.4386460703308985,1.065695107322427,140636,94450,109894,4063592
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,150,5,0.2228426010331206,0.2989668394970508,0.5332816259968578,0.6405722511688344,23468,55029,26815,4303260
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,150,10,0.072821678592648,0.0832201688610733,0.6317920585161965,0.226014052075338,2819,31055,4837,4369861
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,150,20,0.0003231365790607,0.0003238691568606,0.875,0.002590953254885,3,9260,21,4399288
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,160,1,0.3939814188751773,0.5824719464366231,0.4509627027850618,1.060896863275567,136931,98155,112471,4061007
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,160,5,0.2063538630427376,0.2777813164834324,0.554781934008494,0.6239219333222926,21805,56692,27171,4302896
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,160,10,0.0639042214102464,0.0727991970242664,0.6565937891658543,0.2119914979039971,2466,31408,4715,4369975
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,160,20,0.0001077818495365,0.0001079563856202,0.9375,0.0017273021699233,1,9262,15,4399286
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,170,1,0.3808931761343337,0.56687765328433,0.462758109121401,1.055162791489072,133265,101821,114789,4058681
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,170,5,0.1922920969004309,0.2597806285590532,0.5746527053523007,0.6107494553931997,20392,58105,27550,4302509
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,170,10,0.056480904939809,0.0642675798547558,0.6820505330801812,0.2021314282340438,2177,31697,4670,4370012
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,170,20,0,0,1,0.0014034330130627,0,9263,13,4399280
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,180,1,0.3686108261849219,0.5518406030133653,0.473897650727735,1.048922521970683,129730,105356,116857,4056605
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,180,5,0.1792513971727798,0.2431175713721543,0.5944061888973902,0.5994114424755086,19084,59413,27968,4302083
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,180,10,0.0509113601497698,0.0578024443526008,0.7007488919455908,0.1931569935643856,1958,31916,4585,4370089
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,180,20,0.0001077702338614,0.0001079563856202,0.9411764705882352,0.0018352585555435,1,9262,16,4399269
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,60,1,0.6034190058825851,0.7801740639595722,0.2729694375074325,1.073096653990455,183408,51678,68862,4104706
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,60,5,0.4774324843475823,0.5857803482935654,0.2792338077622421,0.8127189574123852,45982,32515,17814,4312343
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,60,10,0.2714800065462877,0.2938241719312747,0.2188211286398242,0.3761291846253764,9953,23921,2788,4371992
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,60,20,0.0045336787564766,0.0045341681960487,0.0232558139534883,0.004642124581669,42,9221,1,4399390
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,70,1,0.5736815176067512,0.7535710335792009,0.2938414318172759,1.067141386556409,177154,57932,73716,4099842
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,70,5,0.4326204850097206,0.5386193102921131,0.312665615398371,0.7836350433774539,42280,36217,19233,4310914
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,70,10,0.2285111333567814,0.2493357737497785,0.2676666955692361,0.3404676152801558,8446,25428,3087,4371683
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,70,20,0.0024827288428324,0.0024829968692648,0.0416666666666666,0.002590953254885,23,9240,1,4399380
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,80,1,0.5457463065109409,0.7276826352909148,0.3141890402062228,1.061054252486324,171068,64018,78371,4095178
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,80,5,0.3938650306748466,0.4948087188045403,0.3412201699486084,0.7510987681057875,38841,39656,20118,4310020
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,80,10,0.1928792153701464,0.2119029344039676,0.3176157429413442,0.3105331522701777,7178,26696,3341,4371420
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,80,20,0.0015112262521588,0.0015113893986829,0.0666666666666666,0.0016193457843031,14,9249,1,4399371
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,90,1,0.52078904185525,0.7033596215852922,0.3326283585523262,1.053924946615281,165350,69736,82413,4091127
