route,route_label,lead_min,threshold_mm,frequency_bias_mean,frequency_bias_sd,n_observed_events
direct_r2p,Direct R2P,140,10,0.6041703568125012,0.0725828438805883,33874
direct_r2p,Direct R2P,140,20,0.162366403972795,0.0613510545022405,9263
direct_r2p,Direct R2P,150,1,1.258465696241659,0.0699619563379718,235086
direct_r2p,Direct R2P,150,5,0.8927474935347847,0.0963641472197893,78497
direct_r2p,Direct R2P,150,10,0.5715691484127453,0.0774390021276964,33874
direct_r2p,Direct R2P,150,20,0.1301954010579726,0.0506048364452973,9263
direct_r2p,Direct R2P,160,1,1.286965904676019,0.074625035015553,235086
direct_r2p,Direct R2P,160,5,0.8813924948299512,0.101810369531578,78497
direct_r2p,Direct R2P,160,10,0.5392041093464014,0.0796528836765077,33874
direct_r2p,Direct R2P,160,20,0.1065169671452733,0.0433450377917898,9263
direct_r2p,Direct R2P,170,1,1.316033281437431,0.0830923035954192,235086
direct_r2p,Direct R2P,170,5,0.8655022909580409,0.1056411650918477,78497
direct_r2p,Direct R2P,170,10,0.5044084942236916,0.0815338620953019,33874
direct_r2p,Direct R2P,170,20,0.0862931375724207,0.0396531215966882,9263
direct_r2p,Direct R2P,180,1,1.343533855695362,0.0816626351081921,235086
direct_r2p,Direct R2P,180,5,0.8513318980343199,0.1075107244915211,78497
direct_r2p,Direct R2P,180,10,0.4702820255456495,0.081349485572559,33874
direct_r2p,Direct R2P,180,20,0.0665731044657958,0.0313932887727889,9263
