contrast,left_route,right_route,lead_min,threshold_mm,left_csi_mean,right_csi_mean,delta_csi,ci_low_pointwise_95,ci_high_pointwise_95,bootstrap_fraction_delta_gt_zero,bootstrap_valid_resamples
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,170,20,0.0035732804836734,0,0.0035732804836734,0.0002693024430135,0.0084425001761489,0.99756,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,180,1,0.4325111058864027,0.3698693819368976,0.062641723949505,0.0550261373445369,0.0703453555060373,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,180,5,0.2572199626237351,0.1736786842131877,0.0835412784105473,0.0668706063903419,0.0991879187522063,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,180,10,0.1053707880060089,0.0419953259251683,0.0633754620808405,0.04013941902626,0.0858724938516531,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,180,20,0.0026806546763548,3.592341128713583e-05,0.0026447312650677,0.0001581638760565,0.0065656520955373,0.99378,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,60,1,0.6247593662096281,0.5845774769952642,0.0401818892143639,0.0289575937642649,0.0518721887965103,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,60,5,0.5322964924964135,0.4769454573912604,0.0553510351051531,0.0460337400362428,0.0642649502034531,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,60,10,0.4411746257312866,0.3793618296498215,0.061812796081465,0.0508839035076953,0.0715286479847096,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,60,20,0.3208933686367415,0.1124334036319065,0.208459965004835,0.1828025533703874,0.230346474831376,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,70,1,0.6005652301961435,0.5716433573921276,0.0289218728040159,0.0185265124172797,0.0397609056048459,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,70,5,0.5003386000066178,0.451861590289738,0.0484770097168797,0.0392071797975145,0.0574124054016718,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,70,10,0.4024749939818452,0.3434863532652026,0.0589886407166425,0.0479132391780259,0.0691621759722406,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,70,20,0.2724509444663403,0.0845310360662583,0.1879199084000818,0.1638902098830851,0.2086472853375304,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,80,1,0.5764567576245064,0.5573846755715136,0.0190720820529928,0.0096454922644472,0.02895700548558,0.99996,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,80,5,0.4687154145770796,0.4303537716382553,0.0383616429388242,0.0294334238145628,0.0471455120620578,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,80,10,0.3645999353686296,0.3043014192169285,0.0602985161517011,0.049773308472657,0.0706450124764815,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,80,20,0.223855321328787,0.0538311891983055,0.1700241321304814,0.1456512322771855,0.1908477073826198,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,90,1,0.5540404411877473,0.5423205648629632,0.0117198763247841,0.0028584084248594,0.0210164635714032,0.9956,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,90,5,0.4401250790484609,0.4057034193533534,0.0344216596951074,0.025726379366167,0.0433982914813411,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,90,10,0.3295575941673169,0.2608394968941048,0.0687180972732121,0.0567016588852818,0.0819193323940326,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,90,20,0.1788963405115143,0.0323034994866706,0.1465928410248436,0.1229963636662177,0.1659249061876691,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,100,1,0.5339941607991442,0.5275526756433327,0.0064414851558114,-0.0018963137766956,0.0151814305970168,0.93448,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,100,5,0.4144268620326432,0.3802257816200711,0.0342010804125721,0.025073721522411,0.0436975046984877,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,100,10,0.2977848317152254,0.2226838031119222,0.0751010286033031,0.0617913686027234,0.0900054871000144,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,100,20,0.1397656875291186,0.0219146684670125,0.117851019062106,0.0974543081886461,0.1342009716069311,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,110,1,0.5157676369577647,0.5133612824641299,0.0024063544936347,-0.0056378246515776,0.0108613858006814,0.72268,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,110,5,0.3909789845330254,0.3585663245000923,0.0324126600329331,0.0230227954445966,0.042356306798122,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,110,10,0.2685951296510799,0.1977692991866367,0.0708258304644432,0.0567050237705423,0.0864254367211963,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,110,20,0.1085212479384241,0.0156481954555347,0.0928730524828894,0.075634230941614,0.1070224785797685,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,120,1,0.4989350746461263,0.499098861782276,-0.0001637871361497,-0.0080939980019702,0.0082088906379573,0.4941,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,120,5,0.3695484087974052,0.3403237408600931,0.0292246679373121,0.0191828511280484,0.0397660443626333,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,120,10,0.2421491462507263,0.1792267593768245,0.0629223868739018,0.0479276686278202,0.0792905582728659,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,120,20,0.0812327749385375,0.011900307986949,0.0693324669515885,0.0561863227782339,0.080413382924525,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,130,1,0.4837822753575249,0.4859645348014476,-0.0021822594439227,-0.0100026439498646,0.0061480080711137,0.31038,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,130,5,0.3498884935576334,0.3212927606475688,0.0285957329100645,0.0181956027351226,0.0396756994466257,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,130,10,0.2180124042140192,0.1577875711633508,0.0602248330506683,0.0443993574301637,0.0775462666383828,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,130,20,0.0608165368723583,0.0084944024860599,0.0523221343862984,0.0417187322546823,0.0616557598299506,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,140,1,0.468998834337553,0.4740121862575197,-0.0050133519199667,-0.0128792980327936,0.0034084896476127,0.123,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,140,5,0.3311837211527239,0.3056054942538785,0.0255782268988454,0.014751061998956,0.0372572611681183,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,140,10,0.1944335409242661,0.1440557445366514,0.0503777963876146,0.0347054244227193,0.0675082905574123,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,140,20,0.0445131099613308,0.0060343634495314,0.0384787465117994,0.0300821804464226,0.04630007073493,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,150,1,0.4552714269590197,0.4625767431566974,-0.0073053161976776,-0.0151904374513069,0.0011460207628811,0.0451,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,150,5,0.3140845615175318,0.2923099561356184,0.0217746053819133,0.0103504282188456,0.0342620931910786,0.99996,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,150,10,0.1749351560302794,0.1331326230456867,0.0418025329845927,0.0260683328103644,0.0587247506442619,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,150,20,0.0318545095206335,0.0048590016186129,0.0269955079020206,0.0210715967383329,0.0324407756572139,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,160,1,0.4421007746694665,0.4518068845568472,-0.0097061098873806,-0.0176228588790774,-0.0011683276321228,0.01346,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,160,5,0.2972337678741715,0.2790276042605641,0.0182061636136073,0.0062676156250132,0.0313758483348238,0.999,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,160,10,0.1569700261209916,0.1238852029473936,0.0330848231735979,0.0169940291376917,0.0502809136677045,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,160,20,0.0242115886664864,0.0040742477536743,0.020137340912812,0.0152528256432875,0.0248044952153565,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,170,1,0.429501520308139,0.4418328432282024,-0.0123313229200633,-0.0203525813014945,-0.0036387599325928,0.00284,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,170,5,0.2819277198280183,0.2696984404395225,0.0122292793884957,-0.0005986920582385,0.0265672091374761,0.96854,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,170,10,0.1408591600105779,0.1176571094389979,0.0232020505715799,0.0061056414094429,0.0411552931064203,0.99642,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,170,20,0.0182019230011645,0.0035732804836734,0.0146286425174911,0.0105477067961336,0.0187142053762681,1,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,180,1,0.4184516106918495,0.4325111058864027,-0.0140594951945531,-0.0221622074088558,-0.0052174567310824,0.00108,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,180,5,0.2678998554066794,0.2572199626237351,0.0106798927829442,-0.0026865228398789,0.0258923049113352,0.93916,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,180,10,0.126683035486575,0.1053707880060089,0.0213122474805661,0.0033208921656545,0.0401920678326908,0.98932,50000
direct_minus_exprecast,direct_r2p,exprecast_patch_cnn,180,20,0.0129915824021065,0.0026806546763548,0.0103109277257517,0.0069936802449448,0.0136792066443548,1,50000
