case_rank,event_label,lead_min,threshold_mm,route,route_label,member_count,csi_mean,csi_sd,csi_min,csi_max,finite_pair_count,n_issue_times
1,17 July 2025,180,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.1813954113907388,0.0053327602946919,0.1752759381898454,0.1850487540628385,17666,144
1,17 July 2025,180,10,direct_r2p,Direct R2P,3,0.1879662897467201,0.0429435599057107,0.1496350364963503,0.234375,17666,144
1,17 July 2025,180,10,exprecast_patch_cnn,exPreCast + CNN,3,0.2643982107913447,0.0020279727248876,0.2620660457239627,0.2657471264367816,17666,144
1,17 July 2025,180,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.0344834909628555,0.0009052892299911,0.0339293901879871,0.0355281856939838,17666,144
1,17 July 2025,180,20,direct_r2p,Direct R2P,3,0.0324480362314386,0.0324817139599527,0.0039525691699604,0.067816091954023,17666,144
1,17 July 2025,180,20,exprecast_patch_cnn,exPreCast + CNN,3,0.0246190478727028,0.0079996786081043,0.0167525773195876,0.0327455919395466,17666,144
1,17 July 2025,180,20,pysteps_patch_cnn,pySTEPS + CNN,3,0,0,0,0,17666,144
2,21 September 2024,60,1,direct_r2p,Direct R2P,3,0.8099395385086169,0.0067445622333934,0.803665146691904,0.8170721224103843,17694,144
2,21 September 2024,60,1,exprecast_patch_cnn,exPreCast + CNN,3,0.8256997898031443,0.0040647665614099,0.8210349179638199,0.8284811747630838,17694,144
2,21 September 2024,60,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.8054923009447855,0.0022102395015191,0.8031332427463832,0.8075152113139287,17694,144
2,21 September 2024,60,5,direct_r2p,Direct R2P,3,0.6134682902224778,0.0091694871283022,0.603029294274301,0.6202207646776515,17694,144
2,21 September 2024,60,5,exprecast_patch_cnn,exPreCast + CNN,3,0.6164423742917029,0.0071078902663189,0.6083979917845732,0.6218745430618512,17694,144
2,21 September 2024,60,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.5906594796991643,0.0084034018509036,0.5836360764492181,0.5999695446931628,17694,144
2,21 September 2024,60,10,direct_r2p,Direct R2P,3,0.5121558956799955,0.007840884050435,0.5042317708333334,0.5199107996177127,17694,144
2,21 September 2024,60,10,exprecast_patch_cnn,exPreCast + CNN,3,0.4336030329595755,0.0105759432954986,0.4217125382262996,0.4419592298980747,17694,144
2,21 September 2024,60,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.3796715090523518,0.008256185991823,0.3706685334266713,0.3868885869565217,17694,144
2,21 September 2024,60,20,direct_r2p,Direct R2P,3,0.4340421926481259,0.0366461338494645,0.3976261127596439,0.4709141274238227,17694,144
2,21 September 2024,60,20,exprecast_patch_cnn,exPreCast + CNN,3,0.1373422442003358,0.0199182024537859,0.1208791208791208,0.1594827586206896,17694,144
2,21 September 2024,60,20,pysteps_patch_cnn,pySTEPS + CNN,3,0.0306218700692872,0.0192362756494271,0.0088593576965669,0.0453539823008849,17694,144
2,21 September 2024,90,1,direct_r2p,Direct R2P,3,0.7590239450566286,0.0105948153729414,0.7493010251630942,0.7703157031570316,17694,144
