route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,rmse,mean_bias,correlation,mae,finite_pair_count
direct_r2p,Direct R2P,0,0,,,170,1.713155785057019,0.1452655389901839,0.5344326209708415,0.4485246464322423,4408556
direct_r2p,Direct R2P,0,0,,,180,1.732327493439537,0.1491106104076155,0.5194597175977076,0.4593893908878411,4408548
direct_r2p,Direct R2P,1,1,,,60,1.193267575745042,0.002134597060284,0.8031450790933498,0.1991829509296454,4408654
direct_r2p,Direct R2P,1,1,,,70,1.275024936654067,0.0049702417264816,0.7713754771526232,0.2165830550488711,4408644
direct_r2p,Direct R2P,1,1,,,80,1.350379272912256,0.0074635121293194,0.7390681505968411,0.2334342124538256,4408635
direct_r2p,Direct R2P,1,1,,,90,1.416091645327762,0.0088721514407556,0.7084262568295585,0.2478700251797318,4408626
direct_r2p,Direct R2P,1,1,,,100,1.470644413021156,0.0071842816583047,0.6806429809016198,0.2595521620920802,4408617
direct_r2p,Direct R2P,1,1,,,110,1.516872720617698,0.0063275356371533,0.6555860435917694,0.2701000185104951,4408607
direct_r2p,Direct R2P,1,1,,,120,1.559113278828943,0.0040351217379328,0.6313096111707505,0.2792752007167972,4408597
direct_r2p,Direct R2P,1,1,,,130,1.595790008736523,0.0018843107955413,0.6088303251254944,0.2876461544260649,4408588
direct_r2p,Direct R2P,1,1,,,140,1.628837094922416,-0.001380459003167,0.587633086399178,0.294568954288507,4408580
direct_r2p,Direct R2P,1,1,,,150,1.660110924137422,-0.0027530286284963,0.5666933299135908,0.3026034007233426,4408572
direct_r2p,Direct R2P,1,1,,,160,1.688090900038036,-0.0028982667785368,0.5473734675490819,0.3107325124891997,4408564
direct_r2p,Direct R2P,1,1,,,170,1.711614706424465,-0.0030663657020361,0.5299025128819718,0.3183748545145415,4408556
direct_r2p,Direct R2P,1,1,,,180,1.733217786188879,-0.002949214264625,0.5135239614434045,0.3255098988582542,4408548
direct_r2p,Direct R2P,2,2,,,60,1.164978207881377,0.0259351448885103,0.8170798998112379,0.2002612579957537,4408654
direct_r2p,Direct R2P,2,2,,,70,1.246712208272728,0.0213693711516607,0.7859596104169284,0.2156900994126221,4408644
direct_r2p,Direct R2P,2,2,,,80,1.324207377511787,0.0147473278970026,0.7529852999894007,0.2300665657997846,4408635
direct_r2p,Direct R2P,2,2,,,90,1.394524354348829,0.0093631657952202,0.7199829511654249,0.2448350820038345,4408626
direct_r2p,Direct R2P,2,2,,,100,1.45574583410721,0.0077583266542606,0.6887614592362199,0.2605816662845571,4408617
direct_r2p,Direct R2P,2,2,,,110,1.509758251093359,0.0020448996099012,0.6589297910723894,0.271189773233057,4408607
direct_r2p,Direct R2P,2,2,,,120,1.557815598610983,-0.0004181999037203,0.6304990899452274,0.2828491403510468,4408597
direct_r2p,Direct R2P,2,2,,,130,1.599179077314164,-0.0082514579481923,0.6042837583722318,0.2887952873258391,4408588
direct_r2p,Direct R2P,2,2,,,140,1.634996177423857,-0.0068551206733569,0.5801899537242091,0.3010111421143608,4408580
direct_r2p,Direct R2P,2,2,,,150,1.66557030495187,-0.0111931418950293,0.5584588483375909,0.3073213713926259,4408572
direct_r2p,Direct R2P,2,2,,,160,1.691509236261661,-0.0060368331136881,0.5390384337937244,0.3202716059047463,4408564
direct_r2p,Direct R2P,2,2,,,170,1.71347785521175,-0.0006749420515406,0.5214588625680152,0.3333691877577192,4408556
direct_r2p,Direct R2P,2,2,,,180,1.732044575800542,0.0117320907619094,0.5060066366714269,0.351564665162078,4408548
