Distance group,Distance to nearest fitting station (km),Stations,Lead (min),RN60 threshold (mm),All-station R2P CSI,Direct R2P CSI,ΔCSI (All-station − Direct),95% CI low,95% CI high,Common finite pairs
3,9.461–12.723,32,90,1,0.5561876275485561,0.5618506415191281,-0.005663013970572,-0.0085043902338728,-0.0028248159347582,1104711
3,9.461–12.723,32,90,5,0.4397966685763474,0.4440443523038657,-0.0042476837275183,-0.0091720627835853,0.0006095905322663,1104711
3,9.461–12.723,32,90,10,0.326843533281229,0.3225751468472494,0.0042683864339795,-0.0036118245242855,0.0126307880745838,1104711
3,9.461–12.723,32,90,20,0.1966042179000891,0.1742924378433146,0.0223117800567745,0.0043774098102381,0.0373837296993602,1104711
3,9.461–12.723,32,120,1,0.4994609677296206,0.5050176671102979,-0.0055566993806773,-0.0080935279326945,-0.0029130820741589,1104700
3,9.461–12.723,32,120,5,0.3673118557550789,0.3707905543917715,-0.0034786986366926,-0.0086533987717501,0.0021574557893856,1104700
3,9.461–12.723,32,120,10,0.2462639424805841,0.2388107289400969,0.0074532135404872,-0.0004029940840045,0.0153680042045891,1104700
3,9.461–12.723,32,120,20,0.1093265238691948,0.0767460493171497,0.032580474552045,0.0062003127247633,0.0556701335584343,1104700
3,9.461–12.723,32,150,1,0.4594596937415538,0.4624394572052616,-0.0029797634637078,-0.0058628404977995,-4.342621358948413e-05,1104693
3,9.461–12.723,32,150,5,0.3185025524911291,0.3157307034154298,0.0027718490756992,-0.0028195596788204,0.0087083360989554,1104693
3,9.461–12.723,32,150,10,0.1924410508770391,0.1792143893243334,0.0132266615527056,0.0033038158168819,0.0228297617602446,1104693
3,9.461–12.723,32,150,20,0.0573618261098533,0.0306820920943346,0.0266797340155187,0.0051695927477591,0.0450034146678062,1104693
3,9.461–12.723,32,180,1,0.4256169916402455,0.4251939289397006,0.0004230627005449,-0.0021773393456437,0.0030003136890238,1104687
3,9.461–12.723,32,180,5,0.2772606911959441,0.2695819641493909,0.0076787270465531,0.0026065207711937,0.0126538410781467,1104687
3,9.461–12.723,32,180,10,0.1463938648207967,0.1272704031825966,0.0191234616382001,0.0063572065779452,0.0310174403902084,1104687
3,9.461–12.723,32,180,20,0.0284788579362222,0.013125920636545,0.0153529372996772,0.0015135384100327,0.0275850223413015,1104687
4,12.927–31.676,32,60,1,0.6367870451972092,0.6350981816140573,0.0016888635831519,-0.0017659675776512,0.0053301968242173,1103045
