route,route_label,lead_min,threshold_mm,member_count,csi_mean,csi_sd,pod_mean,pod_sd,far_mean,far_sd,frequency_bias_mean,frequency_bias_sd
exprecast_patch_cnn,exPreCast + CNN,90,20,3,0.0323034994866706,0.0068069060385832,0.032854726690417,0.0071090188441888,0.3266953090019732,0.0524623678024454,0.0491921263809421,0.012684913592723
exprecast_patch_cnn,exPreCast + CNN,100,1,3,0.5275526756433327,0.004230060291723,0.7191864537516767,0.0100721346319766,0.3353051320702634,0.0153795203608856,1.082596723468575,0.0400135162266441
exprecast_patch_cnn,exPreCast + CNN,100,5,3,0.3802257816200711,0.0067197508475781,0.5116246480757226,0.0263218695489247,0.4016053550142318,0.0207437585289567,0.8566654351970988,0.072267062435538
exprecast_patch_cnn,exPreCast + CNN,100,10,3,0.2226838031119222,0.0208662648144482,0.2707386195902462,0.0366686165289705,0.435499635084267,0.0333467574538979,0.4831729349943909,0.0905405230282546
exprecast_patch_cnn,exPreCast + CNN,100,20,3,0.0219146684670125,0.0048451143667907,0.0222030299758897,0.0050049555293716,0.3553618791713617,0.050684357396817,0.0347619561697074,0.009298673985814
exprecast_patch_cnn,exPreCast + CNN,110,1,3,0.5133612824641299,0.0034467426317956,0.7014709510562093,0.0112894879541298,0.3428051356501968,0.0155038986096437,1.068036094592334,0.0423173388751256
exprecast_patch_cnn,exPreCast + CNN,110,5,3,0.3585663245000923,0.0072698025927969,0.4791096050379844,0.0244207018594145,0.4109396265371988,0.018595253492286,0.8147317731887842,0.065960909091737
exprecast_patch_cnn,exPreCast + CNN,110,10,3,0.1977692991866367,0.0183875685750778,0.2383145381905493,0.0309520152841261,0.4553715532758666,0.0294904276607836,0.4403967644801322,0.0782322279709071
exprecast_patch_cnn,exPreCast + CNN,110,20,3,0.0156481954555347,0.0027711037126879,0.0158336032242973,0.0028610139566448,0.4144113671097851,0.0394709064969799,0.0272769801000395,0.0063779599587222
exprecast_patch_cnn,exPreCast + CNN,120,1,3,0.499098861782276,0.0031630632993833,0.6879680911099201,0.0097180220421891,0.3546091402049969,0.0137332634701358,1.066504740109293,0.0376728227909829
exprecast_patch_cnn,exPreCast + CNN,120,5,3,0.3403237408600931,0.0067595150436136,0.4554144319740457,0.0218333352356612,0.4249397717180143,0.0165832152450649,0.7930918803691012,0.0598508558955465
exprecast_patch_cnn,exPreCast + CNN,120,10,3,0.1792267593768245,0.0149177243646314,0.2154257936273641,0.0250651974429053,0.4781387069973378,0.02642956631844,0.4150676034716892,0.0670866677797112
