case_rank,event_label,lead_min,threshold_mm,route,route_label,member,replicate_id,upstream_seed,downstream_seed,hit,miss,false_alarm,correct_negative,finite_pair_count,n_issue_times,csi
1,17 July 2025,120,20,direct_r2p,Direct R2P,2,2,,,119,638,116,16793,17666,144,0.13631156930126
1,17 July 2025,150,1,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,5091,2044,2313,8218,17666,144,0.538844199830652
1,17 July 2025,150,5,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,1170,2023,1301,13172,17666,144,0.260347129506008
1,17 July 2025,150,10,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,159,1545,352,15610,17666,144,0.0773346303501945
1,17 July 2025,150,20,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,0,757,2,16907,17666,144,0
1,17 July 2025,150,1,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,4947,2188,2114,8417,17666,144,0.5348686344469672
1,17 July 2025,150,5,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,1195,1998,1414,13059,17666,144,0.259387887996527
1,17 July 2025,150,10,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,190,1514,539,15423,17666,144,0.084707980383415
1,17 July 2025,150,20,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,0,757,8,16901,17666,144,0
1,17 July 2025,150,1,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,4903,2232,2080,8451,17666,144,0.5320672816060771
1,17 July 2025,150,5,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,1128,2065,1353,13120,17666,144,0.2481302243730752
1,17 July 2025,150,10,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,171,1533,437,15525,17666,144,0.0798692199906585
1,17 July 2025,150,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,0,757,0,16909,17666,144,0
1,17 July 2025,150,1,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,5613,1522,2078,8453,17666,144,0.6092478020188864
1,17 July 2025,150,5,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,1879,1314,1645,12828,17666,144,0.3883836295990078
1,17 July 2025,150,10,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,693,1011,660,15302,17666,144,0.2931472081218274
1,17 July 2025,150,20,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,25,732,29,16880,17666,144,0.0318066157760814
1,17 July 2025,150,1,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,5537,1598,1956,8575,17666,144,0.6090639093609064
1,17 July 2025,150,5,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,1871,1322,1607,12866,17666,144,0.3897916666666666
1,17 July 2025,150,10,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,710,994,691,15271,17666,144,0.2964509394572025
1,17 July 2025,150,20,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,36,721,38,16871,17666,144,0.0452830188679245
