route,route_label,replicate,aggregation,bootstrap_reps,bootstrap_unit,ci_definition,lead_min,metric,x_index,x_label,bin_low_mm,bin_high_mm,threshold_mm,estimate,ci_low,ci_high,n_common_pairs,n_observed_events
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,2,10–20,10,20,,-10.35393103047239,-10.78217644395839,-9.99984932759617,24611,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,3,≥20,20,,,-27.43613536905515,-28.26648026242777,-26.47741585471486,9263,
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,0,1,,,1,0.866309917788951,0.8369389464834683,0.8923759036748653,4408654,235086
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,1,5,,,5,0.8953208402868899,0.8485877969935939,0.9367681605864032,4408654,78497
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,2,10,,,10,0.7888252543740529,0.7397439304802312,0.8342579433398599,4408654,33874
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,3,20,,,20,0.4010579725790781,0.355634725393057,0.4446390257304019,4408654,9263
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,0,1,,,1,0.7451032104563153,0.6995937314635885,0.7842089087144113,4408597,235086
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,1,5,,,5,0.6678004679584357,0.6087239625651086,0.7206673766783583,4408597,78497
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,2,10,,,10,0.3420420775029029,0.2914360418136339,0.3886048306555846,4408597,33874
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,3,20,,,20,0.0541581201194717,0.0327720383313753,0.0807118170730279,4408597,9263
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,0,1,,,1,0.6735861202567004,0.6139229512378789,0.7252941347223614,4408548,235086
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,1,5,,,5,0.4519620707373105,0.3882251732794957,0.5125129677284946,4408548,78497
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,2,10,,,10,0.0798645962488437,0.0550904936878539,0.1067947176767661,4408548,33874
exprecast_mlp,exPreCast + Patch MLP,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,3,20,,,20,0.0045341681960487,0.0007710642668752,0.0093085778761564,4408548,9263
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,0,1–5,1,5,,0.5559319094418411,0.4333230011465501,0.6731835209734283,156589,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,1,5–10,5,10,,-0.1370978026281827,-0.4804029260544979,0.2046393915014194,44623,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,2,10–20,10,20,,-2.47670644425565,-3.076462959732603,-1.92445388576906,24611,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,conditional_mean_error,3,≥20,20,,,-11.77872592639535,-12.81542988310143,-10.74048435230897,9263,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,0,1–5,1,5,,0.5449583205531247,0.3744373063840622,0.7039547955177585,156589,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,1,5–10,5,10,,-1.538275618733006,-1.93122297302705,-1.172449781244711,44623,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,2,10–20,10,20,,-6.11540294652038,-6.725547983537896,-5.599495690766212,24611,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,conditional_mean_error,3,≥20,20,,,-20.81847416862543,-21.76452206212777,-19.78350768283216,9263,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,0,1–5,1,5,,0.4115624436674563,0.2169967964039257,0.5898229471663747,156589,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,1,5–10,5,10,,-2.604101727974986,-2.984224723302251,-2.249278925623547,44623,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,2,10–20,10,20,,-8.16731551083094,-8.712063373995688,-7.718206207394938,24611,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,conditional_mean_error,3,≥20,20,,,-24.62412355600674,-25.55492125638597,-23.59746289836672,9263,
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,0,1,,,1,1.088211689906389,1.060762596775206,1.115511086131024,4408654,235086
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,1,5,,,5,1.032162587954529,0.9795995265845914,1.081721317089904,4408654,78497
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,2,10,,,10,0.9451595127039422,0.8743674543982636,1.016875642369873,4408654,33874
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,60,frequency_bias,3,20,,,20,0.7598330274569074,0.6732385836487373,0.8462948583049542,4408654,9263
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,0,1,,,1,1.200224598657513,1.159317134359642,1.241289527743132,4408597,235086
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,1,5,,,5,0.9340314491848946,0.8641768387013367,1.001383608723727,4408597,78497
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,2,10,,,10,0.6846548975615515,0.6062523885228597,0.760792592156929,4408597,33874
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,120,frequency_bias,3,20,,,20,0.2483356723883551,0.2066586083206371,0.2915988544365712,4408597,9263
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,0,1,,,1,1.343533855695362,1.282736005492135,1.404964803528554,4408548,235086
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,1,5,,,5,0.8513318980343199,0.7745662157619341,0.9269069161976722,4408548,78497
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,2,10,,,10,0.4702820255456495,0.4019847526224254,0.5382579818338018,4408548,33874
direct_r2p,Direct R2P,0|1|2,mean_of_replicate_metrics,5000,paired KST issuance date,2.5th–97.5th percentile,180,frequency_bias,3,20,,,20,0.0665731044657958,0.048370440887326,0.0874489317078293,4408548,9263
